date,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,signal,atr,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2023-02-02,148.7225341796875,,,84.52414532032752,,,24.119827270507812,19.357386262955156,,0.4,2,5,-1,3.6220831289698134,0.4,0.4,0.4,,
2023-02-03,152.35134887695312,,,86.55725213257637,,,29.070022583007812,23.580231862281266,,0.4,2,5,-1,4.036019330212757,0.4,0.4,0.4,,
2023-02-06,149.619873046875,,,78.2266301480204,,,21.802505493164062,17.05754539499673,,0.4,2,5,-1,4.00975088415626,0.4,0.4,0.4,,
2023-02-07,152.499267578125,,,80.37127130699409,,,24.159286499023438,18.82444293344021,,0.4,2,5,-1,4.046637463577688,0.4,0.4,0.4,,
2023-02-08,149.8072509765625,,,73.11981381655981,,,20.895339965820312,16.209006446331497,,0.4,2,5,-1,4.002705242779743,0.4,0.4,0.4,,
2023-02-09,148.77186584472656,,,70.485701041251,,,17.138320922851562,13.019721479827373,,0.4,2,5,-1,3.9921997077968596,0.4,0.4,0.4,,
2023-02-10,149.1372528076172,,,70.88432369577605,,,17.582595825195312,13.365240143148016,,0.4,2,5,-1,3.856592880136232,0.4,0.4,0.4,,
2023-02-13,151.9420623779297,,,73.8086292522796,,,19.056167602539062,14.340248552902167,,0.4,2,5,-1,3.8167345288534245,0.4,0.4,0.4,,
2023-02-14,151.3000946044922,,,72.02552462398434,,,17.250625610351562,12.868850387692031,,0.4,2,5,-1,3.755035259653424,0.4,0.4,0.4,,
2023-02-15,153.4036865234375,,,74.22305124832029,,,20.074050903320312,15.05595572203864,,0.4,2,5,-1,3.671640127644219,0.4,0.4,0.4,,
2023-02-16,151.8037872314453,,,69.73615498467393,,,18.414993286132812,13.805502502468613,,0.4,2,5,-1,3.6195972331372106,0.4,0.4,0.4,,
2023-02-17,150.65818786621094,,,66.63014542824102,,,14.705551147460938,10.816672263505133,,0.4,2,5,-1,3.562805586243002,0.4,0.4,0.4,,
2023-02-21,146.6386260986328,,,57.03187342635581,140.52581091488108,,7.4910430908203125,5.383523686789249,,0.4,2,5,-1,3.600368460710166,0.4,0.4,0.4,,
2023-02-22,147.0633087158203,,,57.724786198129394,140.8993822177919,,6.515472412109375,4.635768563544462,,0.4,2,5,-1,3.5400131005111546,0.4,0.4,0.4,,
2023-02-23,147.54722595214844,,,58.54513573009138,141.27925900261226,,7.6600799560546875,5.475899805882523,,0.4,2,5,-1,3.50583692489741,0.4,0.4,0.4,,
2023-02-24,144.89060974121094,,,52.51983303848892,141.48562190196077,,2.932647705078125,2.065856443002234,,0.4,2,5,-1,3.515016025573328,0.4,0.4,0.4,,
2023-02-27,146.0855712890625,,,54.774494182727274,141.7484761526523,,2.1850433349609375,1.5184401100028388,,0.4,2,5,-1,3.437476287890391,0.4,0.4,0.4,,
2023-02-28,145.58192443847656,,,53.61879978813544,141.96753034041367,,4.57061767578125,3.241312899449289,,0.4,2,5,-1,3.350663483104462,0.4,0.4,0.4,,
2023-03-01,143.50794982910156,,,49.03106838180962,142.05555431119583,,1.2246246337890625,0.8606944152507179,59.96415533885987,0.6,3,5,0,3.280634463069441,0.6,0.6,0.6,,
2023-03-02,144.10052490234375,,,50.33851869040122,142.17240977354714,,0.69305419921875,0.4832762169367566,58.2115453249548,0.6,3,5,0,3.2445294948883507,0.6,0.6,0.6,,
2023-03-03,149.15701293945312,,,59.8119424751568,142.57152995445605,,0.434478759765625,0.29214050322776686,57.03114751889136,0.6,3,5,0,3.3795986546947714,0.6,0.6,0.6,,
2023-03-06,151.9222869873047,,,63.870932007678604,143.1058589277617,,-0.4290618896484375,-0.2816265775204774,56.3614053677476,0.2,1,5,-1,3.5099590133343375,0.6,0.2,0.6,,
2023-03-07,149.71995544433594,,,58.77911094052215,143.48380730013736,,0.1000823974609375,0.0668911124056315,55.285100491482865,0.6,3,5,0,3.4638212226579097,0.6,0.6,0.6,,
2023-03-08,150.9741973876953,,,60.700605012647394,143.91182959085495,,-1.5250701904296875,-1.0000508295217814,54.26261085903138,0.2,1,5,-1,3.3483202173092983,0.6,0.2,0.6,,
2023-03-09,148.72247314453125,,,55.68229604448276,144.18672350820788,,-1.08477783203125,-0.7241157053212044,52.990934455832075,0.2,1,5,-1,3.413193605897182,0.6,0.2,0.6,,
2023-03-10,146.6583709716797,,,51.48074297439159,144.32796050612055,,-2.113494873046875,-1.4206280609888489,51.32352388325997,0.2,1,5,-1,3.404301539230256,0.6,0.2,0.6,,
2023-03-13,148.6039581298828,,,54.93264877469063,144.5723032274784,,-0.533294677734375,-0.3575864967972242,49.97770355761216,0.2,1,5,-1,3.5448899032434618,0.6,0.2,0.6,,
